record_id,market,drug_name_raw,active_ingredient,strength,dosage_form,manufacturer,package_image_file,image_source_url,image_direct_url,license,image_author,source_note
195,Yemen / global medicines,Dupixent Pen and Packaging,,,,,images/897ebf3a3a4c.jpg,https://commons.wikimedia.org/wiki/File%3ADupixent_Pen_and_Packaging.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Dupixent_Pen_and_Packaging.jpg/1280px-Dupixent_Pen_and_Packaging.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Lyall0&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Lyall0 (page does not exist)"">Lyall0</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
196,Yemen / global medicines,"Early ""Clap"" Medicinal Formulation, Possibly Containing Hysoscyamine, Possibly From the New Orleans Pharmacy Museum",,,,,images/206ca625b1b7.jpg,https://commons.wikimedia.org/wiki/File%3AEarly_%22Clap%22_Medicinal_Formulation%2C_Possibly_Containing_Hysoscyamine%2C_Possibly_From_the_New_Orleans_Pharmacy_Museum.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Early_%22Clap%22_Medicinal_Formulation%2C_Possibly_Containing_Hysoscyamine%2C_Possibly_From_the_New_Orleans_Pharmacy_Museum.jpg/1280px-Early_%22Clap%22_Medicinal_Formulation%2C_Possibly_Containing_Hysoscyamine%2C_Possibly_From_the_New_Orleans_Pharmacy_Museum.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Once_a_professor&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Once a professor (page does not exist)"">Once a professor</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
197,Yemen / global medicines,Early-1960s-obocell-bottle 1 86ad73c9be54e88998bc7520ca7e42e6,,,,,images/b1b7cd8e0de8.jpg,https://commons.wikimedia.org/wiki/File%3AEarly-1960s-obocell-bottle_1_86ad73c9be54e88998bc7520ca7e42e6.jpg,https://upload.wikimedia.org/wikipedia/commons/d/de/Early-1960s-obocell-bottle_1_86ad73c9be54e88998bc7520ca7e42e6.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Wainblatrobert&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Wainblatrobert (page does not exist)"">Wainblatrobert</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
198,Yemen / global medicines,Ebglyss,,,,,images/3ab19656c43b.jpg,https://commons.wikimedia.org/wiki/File%3AEbglyss.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Ebglyss.jpg/1280px-Ebglyss.jpg,CC0,"<a href=""//commons.wikimedia.org/wiki/User:Hanabishi"" title=""User:Hanabishi"">Hanabishi</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
199,Yemen / global medicines,Ebivol,,,,,images/977569e898c5.jpg,https://commons.wikimedia.org/wiki/File%3AEbivol.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Ebivol.jpg/1280px-Ebivol.jpg,CC0,Anton0987654321,Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
200,Yemen / global medicines,Ebrantil 60 mg cps,,,,,images/5caf62842012.jpg,https://commons.wikimedia.org/wiki/File%3AEbrantil_60_mg_cps.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Ebrantil_60_mg_cps.jpg/1280px-Ebrantil_60_mg_cps.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Tomino_de_WS&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Tomino de WS (page does not exist)"">Tomino de WS</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
201,Yemen / global medicines,Egilok-25,,,,,images/dd63ee48b5d7.jpg,https://commons.wikimedia.org/wiki/File%3AEgilok-25.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Egilok-25.jpg/1280px-Egilok-25.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Wesalius"" title=""User:Wesalius"">Wesalius</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
202,Yemen / global medicines,Elestat-03,,,,,images/26b9a5e03db1.jpg,https://commons.wikimedia.org/wiki/File%3AElestat-03.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7f/Elestat-03.jpg,Public domain,FDA,Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
203,Yemen / global medicines,Eliava Institut Prep,,,,,images/ba2be93c591d.jpg,https://commons.wikimedia.org/wiki/File%3AEliava_Institut_Prep.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Eliava_Institut_Prep.jpg/1280px-Eliava_Institut_Prep.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Ejw0851&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Ejw0851 (page does not exist)"">Ejw0851</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
204,Yemen / global medicines,Embalagens de medicamentos,,,,,images/aef2610c9504.jpg,https://commons.wikimedia.org/wiki/File%3AEmbalagens_de_medicamentos.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Embalagens_de_medicamentos.jpg/1280px-Embalagens_de_medicamentos.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Vitorsgoncalves&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Vitorsgoncalves (page does not exist)"">Vitor da Silva Gonçalves</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
205,Yemen / global medicines,Embalaje monodosis de medicamentos,,,,,images/decd20a36f67.jpg,https://commons.wikimedia.org/wiki/File%3AEmbalaje_monodosis_de_medicamentos.jpg,https://upload.wikimedia.org/wikipedia/commons/0/08/Embalaje_monodosis_de_medicamentos.jpg,CC0,uso racional,Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
206,Yemen / global medicines,Emetrol For Nausea (4225474315),,,,,images/01da8186a4c4.jpg,https://commons.wikimedia.org/wiki/File%3AEmetrol_For_Nausea_%284225474315%29.jpg,https://upload.wikimedia.org/wikipedia/commons/0/07/Emetrol_For_Nausea_%284225474315%29.jpg,CC BY 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/44336569@N04"">Wellspring Pharmaceutical</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
207,Yemen / global medicines,Emgality,,,,,images/491e5afe8f82.jpg,https://commons.wikimedia.org/wiki/File%3AEmgality.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Emgality.jpg/1280px-Emgality.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Kaiysea&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Kaiysea (page does not exist)"">Kaiysea</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
208,Yemen / global medicines,Enrique001,,,,,images/56e50df7579c.jpg,https://commons.wikimedia.org/wiki/File%3AEnrique001.jpg,https://upload.wikimedia.org/wikipedia/commons/7/74/Enrique001.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Jenriquecf&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Jenriquecf (page does not exist)"">Jenriquecf</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
209,Yemen / global medicines,Enterodez,,,,,images/1e51d3260c64.jpg,https://commons.wikimedia.org/wiki/File%3AEnterodez.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a9/Enterodez.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Lokispb&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Lokispb (page does not exist)"">Lokispb</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
210,Yemen / global medicines,Epivir RU,,,,,images/d2fea1439dd5.jpg,https://commons.wikimedia.org/wiki/File%3AEpivir_RU.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Epivir_RU.jpg/1280px-Epivir_RU.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Pinkchild"" title=""User:Pinkchild"">Pinkchild</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
211,Yemen / global medicines,Ezicas F,,,,,images/0e1f38bd1dfc.jpg,https://commons.wikimedia.org/wiki/File%3AEzicas_F.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Ezicas_F.JPG/1280px-Ezicas_F.JPG,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:ASH_SUPER&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:ASH SUPER (page does not exist)"">ASH SUPER</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
212,Yemen / global medicines,Ezicas,,,,,images/1d0d53c69d8e.jpg,https://commons.wikimedia.org/wiki/File%3AEzicas.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Ezicas.JPG/1280px-Ezicas.JPG,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:ASH_SUPER&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:ASH SUPER (page does not exist)"">ASH SUPER</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
213,Yemen / global medicines,Eziwin,,,,,images/ad9e50bfb5ad.jpg,https://commons.wikimedia.org/wiki/File%3AEziwin.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Eziwin.JPG/1280px-Eziwin.JPG,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:ASH_SUPER&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:ASH SUPER (page does not exist)"">ASH SUPER</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
214,Yemen / global medicines,Famotidine 20mg generic,,,,,images/97064ff2baea.jpg,https://commons.wikimedia.org/wiki/File%3AFamotidine_20mg_generic.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Famotidine_20mg_generic.jpg/1280px-Famotidine_20mg_generic.jpg,CC0,"<a href=""//commons.wikimedia.org/wiki/User:%E7%84%A1%E8%81%8A%E9%BE%8D"" title=""User:無聊龍"">無聊龍</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
215,Yemen / global medicines,Farmaco senza obbligo di ricetta (Italia),,,,,images/c7b0316f4738.jpg,https://commons.wikimedia.org/wiki/File%3AFarmaco_senza_obbligo_di_ricetta_%28Italia%29.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Farmaco_senza_obbligo_di_ricetta_%28Italia%29.svg/1280px-Farmaco_senza_obbligo_di_ricetta_%28Italia%29.svg.png,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Carnby"" title=""User:Carnby"">Carnby</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
216,Yemen / global medicines,Fentanyl Patch from Israel,,,,,images/67eb57a5cbe1.jpg,https://commons.wikimedia.org/wiki/File%3AFentanyl_Patch_from_Israel.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Fentanyl_Patch_from_Israel.jpg/1280px-Fentanyl_Patch_from_Israel.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:DanielTahar&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:DanielTahar (page does not exist)"">DanielTahar</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
217,Yemen / global medicines,Fentanyl patch packages,,,,,images/bb0522ef2f8f.jpg,https://commons.wikimedia.org/wiki/File%3AFentanyl_patch_packages.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Fentanyl_patch_packages.jpg/1280px-Fentanyl_patch_packages.jpg,Public domain,"<a href=""//commons.wikimedia.org/wiki/User:Alcibiades"" title=""User:Alcibiades"">Alcibiades</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
218,Yemen / global medicines,Ferezol,,,,,images/0d007a5301dc.jpg,https://commons.wikimedia.org/wiki/File%3AFerezol.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Ferezol.jpg/1280px-Ferezol.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Nikolay_Kripak&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Nikolay Kripak (page does not exist)"">Nikolay Kripak</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
219,Yemen / global medicines,Fertigarzneimittel DE,,,,,images/c1012e999e28.jpg,https://commons.wikimedia.org/wiki/File%3AFertigarzneimittel_DE.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Fertigarzneimittel_DE.jpg/1280px-Fertigarzneimittel_DE.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Benff&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Benff (page does not exist)"">Benff</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
220,Yemen / global medicines,Finasterid Orion,,,,,images/4b5534e94f56.jpg,https://commons.wikimedia.org/wiki/File%3AFinasterid_Orion.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Finasterid_Orion.JPG/1280px-Finasterid_Orion.JPG,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:ZngZng"" title=""User:ZngZng"">ZngZng</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
221,Yemen / global medicines,FLAXYNE LP 75 mg (Arabic side),,,,,images/9139e2bf0d0d.jpg,https://commons.wikimedia.org/wiki/File%3AFLAXYNE_LP_75_mg_%28Arabic_side%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/FLAXYNE_LP_75_mg_%28Arabic_side%29.jpg/1280px-FLAXYNE_LP_75_mg_%28Arabic_side%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:SilverBullet_X&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:SilverBullet X (page does not exist)"">SilverBullet X</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
